１万年ほど前の縄文時代、日本列島に住んでいた人口の数は？　,約２万人,約２０万人,約２００万人,約2000万人,0
雪が積もる積雪地域または寒冷地域は、日本全体の何％？,32%,42%,52%,62%,3
次のうちで、一番温泉の少ない県は？,長野県,埼玉県,鳥取県,沖縄県,3
日本一大きい大仏の大きさは？,約60m,約90m,約120m,約150m,2
京都市に現存している、平安時代からの建築物の数は？,0棟,約50棟,約500棟,約5000棟,0
次のうちで一番面積が広いのは？,岩手県,福島県,新潟県,長野県,0
次のうちで一番面積が狭いのは？,神奈川県,東京都,佐賀県,沖縄県,1
次のうちで「実在しない」空港の名前は？,モーツァルト空港,ベートーヴェン空港,ルイ・アームストロング空港,ジョン・レノン空港,1
「銀閣寺」の名前の由来はどれ？,「金閣寺」に名前を合わせた,建築材料の一部に「銀が使われていたから,最初は銀箔が貼られていたから,銀箔を貼る予定で作られたから,3
「明治時代の初期」にベストセラーになった書物は？,福沢諭吉『学問のすすめ』,夏目漱石『吾輩は猫である』,太宰治『人間失格』,芥川龍之介『羅生門』,0
昭和が終わるまでの歴代天皇のうち女性の天皇は何人いた？,1人　,10人,20人,30人,1
自由の女神が作られたのはどのタイミング？,アメリカという国が誕生した年,アメリカという国が誕生した100年後,アメリカが独立した年,アメリカの独立が認められた100年後,3
最初に出現した人類を猿人という。猿人が現れたのは、今からどれくらい前と考えられているか？,約240万年前,約700万年前,約20万年前,約60万年前,1
古代エジプトでは、ナイル川の洪水の時期を知る必要から、1年を365日とする暦を編み出した。この暦を何と呼ぶ？,グレゴリオ暦,太陰暦,ユリウス暦,太陽暦,3
前7世紀前半にはアッシリア帝国が古代オリエント世界を統一したが、わずかの期間で統一は崩壊する。アッシリア帝国によるオリエント統一が崩壊した原因として適切なものはどれか？,征服民を自由にさせて支配することを怠った,王族間で領土分配をめぐって内乱が起きた,鉄製武器や戦車などの兵力や戦術の導入が遅れた,征服民に対する厳しい政策が反乱を招いた,3
クレタ文明・トロヤ文明・ミケーネ文明など、前3000年頃～前1100年頃に栄えた地中海文明を総称して何と呼ぶ？,ペルシア文明,エーゲ文明,ローマ文明,ギリシア文明,1
小アジアに栄えたトロヤ文明は前1200年頃にギリシアとの戦争で滅んだ。このトロヤ戦争について叙事詩『イリアス』を記述した前8世紀頃のギリシアの人物は誰か？,ヘシオドス,ホメロス,シュリーマン,ヘロドトス,1
アテネ市民が政治参加できるようにするなど、直接民主制を徹底してアテネの最盛期を築いた政治家は誰か？,クレイステネス,テミストクレス,ペリクレス,ペイシストラトス,2
アテネが商業で発展したのに対して、スパルタは武力で発展した。スパルタで行われていた軍国主義的な制度を何と呼ぶ？,サトラップ制,ヴァルナ制,オストラシズム制,リュクルゴス制,3
古代ギリシアでは、同盟市への派遣をめぐって次第にポリス間の対立が深まる。前431年、アテネ連合とスパルタ連合の間に起きた戦いを何と呼ぶ？,アルテミオンの海戦,ペロポネソス戦争,サラミスの海戦,マラトンの戦い,1
アレクサンドロス大王の東方世界への遠征以降の300年間をヘレニズム時代と呼ぶ。ヘレニズム文化の説明として正しいものを選べ。,ローマ文化とインド文化が融合して出来た,ギリシア文化とオリエント文化が融合して出来た,ギリシア文化とインド文化が融合して出来た,ローマ文化とオリエント文化が融合して出来た,1
次のうち、国字はどれ？,峠,雉,服,桃,0
日本人の血液型で一番多いのはA型です。では、世界的に見た場合に一番多いのは何型でしょうか？,A型,B型,O型,AB型,2
コオロギの耳はどこにあるでしょうか？,顔の横,頭頂部,お尻,脚,3
「学ラン」の「ラン」とはなんでしょうか？,花のラン,オランダ,ランダム,ランキング,1
カップ麺に入っている「かやく」を漢字で書くとどうなるでしょうか？,火薬,化薬,加薬,科薬,2
牛乳を温めたときにできる膜の正体はなんでしょうか？,タンパク質,砂糖,カルシウム,脂肪,0
フルーツサンド発祥の国はどこでしょうか？,日本,アメリカ,フランス,イタリア,0
アニメ「サザエさん」には、意外にも原作には登場していないキャラクタが多く登場しています。次のうち、原作にも登場した人物は誰でしょうか？,伊佐坂先生,花沢さん,サブちゃん,アナゴさん,0
「行く川の流れは絶えずしてしかももとの水にあらず」という一文で始まる鎌倉時代の随筆は？,『徒然草』,『伊勢物語』,『方丈記』,『大鏡』,2
『枕草子』を書いた平安時代の女性は？,和泉式部,紫式部,清少納言,阿仏尼,2
『蜻蛉日記』を書いた平安時代の女性は？,菅原孝標娘,小式部内侍,藤原道綱母,和泉式部,2
作家・芥川龍之介の命日を何忌という？,河童忌,蝸牛忌,南国忌　,桜桃忌,0
作家・太宰治の命日を何忌という？,桜桃忌,河童忌　　,蝸牛忌,南国忌,0
古代ギリシアの恋愛小説『ダフニスとクロエ』にヒントを得て書かれた三島由紀夫の小説は？,『永すぎた春』,『潮騒』,『豊饒の海』,『仮面の告白』,1
夏目漱石の小説『吾輩は猫である』の主人公である教師の名前は？,珍野苦沙弥,珍野鼻詰真理,珍野鼻水,珍野咳,0
太宰治の小説『走れメロス』で主人公のメロスが、親友のセリヌンティウスを人質にして出席したのは誰の結婚式？,妹,昔の彼女,娘,同級生,0
小説『城の崎にて』を書いた白樺派の作家は？,梶井基次郎,志賀直哉,尾崎紅葉,山本有三,1
小説『武蔵野』を書いた明治の作家は？,永井荷風,国木田独歩,吉行淳之介,坂口安吾,1
川端康成の小説『雪国』の冒頭部分に出てくる「国境の長いトンネル」とは何トンネルのこと？,青函トンネル,清水トンネル,丹那トンネル,樽沢トンネル,1
