「女の子だって暴れたい」というコンセプトのもとで始まった女の子向けの大人気アニメシリーズはなんでしょうか？,アイカツ,プリキュア,セーラームーン,おジャ魔女どれみ,2
北斗の拳から問題です。サウザーは何帝を名乗っていたか？,皇帝,天帝,聖帝,白帝,3
次のうちで、一番温泉の少ない県は？,長野県,埼玉県,鳥取県,沖縄県,3
日本一大きい大仏の大きさは(台座込み)？,約60m,約90m,約120m,約150m,3
北斗の拳より問題です。ユリアに瓜二つだった、ヨーヨーやボウガンで戦う戦士の名前は？,リン,オウカ,アイリ,マミヤ,4
次のうちで一番面積が広いのは？,岩手県,福島県,新潟県,長野県,1
次のうちで一番面積が狭いのは？,神奈川県,東京都,佐賀県,沖縄県,2
次のうちで「実在しない」空港の名前は(/呼び名は)？,モーツァルト空港,ベートーヴェン空港,ルイ・アームストロング空港,ジョン・レノン空港,2
ラオウとの戦いでケンシロウが使った北斗神拳究極奥義と言えば？,天破活殺,無想転生,北斗百裂拳,天将奔烈,2
「明治時代の初期」にベストセラーになった書物は？,福沢諭吉『学問のすすめ』,夏目漱石『吾輩は猫である』,太宰治『人間失格』,芥川龍之介『羅生門』,1
北斗神拳四兄弟の長兄といえば？,ジャギ,ケンシロウ,ラオウ,トキ,3
北斗の拳（乱世覇道編）から問題です。サウザーが司っている星といえば？,妖星,義星,仁星,将星,4
北斗の拳（乱世覇道編）から問題です。ユダが司っている星といえば？,妖星,義星,仁星,将星,1
古代エジプトでは、ナイル川の洪水の時期を知る必要から、1年を365日とする暦を編み出した。この暦を何と呼ぶ？,グレゴリオ暦,太陰暦,ユリウス暦,太陽暦,4
前7世紀前半にはアッシリア帝国が古代オリエント世界を統一したが、わずかの期間で統一は崩壊する。アッシリア帝国によるオリエント統一が崩壊した原因として適切なものはどれか？,征服民を自由にさせて支配することを怠った,王族間で領土分配をめぐって内乱が起きた,鉄製武器や戦車などの兵力や戦術の導入が遅れた,征服民に対する厳しい政策が反乱を招いた,4
クレタ文明・トロヤ文明・ミケーネ文明など、前3000年頃～前1100年頃に栄えた地中海文明を総称して何と呼ぶ？,ペルシア文明,エーゲ文明,ローマ文明,ギリシア文明,2
小アジアに栄えたトロヤ文明は前1200年頃にギリシアとの戦争で滅んだ。このトロヤ戦争について叙事詩『イリアス』を記述した前8世紀頃のギリシアの人物は誰か？,ヘシオドス,ホメロス,シュリーマン,ヘロドトス,2
アテネ市民が政治参加できるようにするなど、直接民主制を徹底してアテネの最盛期を築いた政治家は誰か？,クレイステネス,テミストクレス,ペリクレス,ペイシストラトス,3
アテネが商業で発展したのに対して、スパルタは武力で発展した。スパルタで行われていた軍国主義的な制度を何と呼ぶ？,サトラップ制,ヴァルナ制,オストラシズム制,リュクルゴス制,4
古代ギリシアでは、同盟市への派遣をめぐって次第にポリス間の対立が深まる。前431年、アテネ連合とスパルタ連合の間に起きた戦いを何と呼ぶ？,アルテミオンの海戦,ペロポネソス戦争,サラミスの海戦,マラトンの戦い,2
アレクサンドロス大王の東方世界への遠征以降の300年間をヘレニズム時代と呼ぶ。ヘレニズム文化の説明として正しいものを選べ。,ローマ文化とインド文化が融合して出来た,ギリシア文化とオリエント文化が融合して出来た,ギリシア文化とインド文化が融合して出来た,ローマ文化とオリエント文化が融合して出来た,2
次のうち、国字はどれ？,峠,雉,服,桃,1
次のうち、一番年齢が若いキャラクタは？,野比のび太(ドラえもん),乱太郎(忍たま乱太郎),さくらももこ(ちびまる子ちゃん),サトシ(ポケットモンスター),3
次のうち、一番年齢が高いキャラクタは？,フグ田サザエ(サザエさん),野原みさえ(クレヨンしんちゃん),ケンシロウ(北斗の拳),緋村剣心(るろうに剣心),2 
「学ラン」の「ラン」とはなんでしょうか？,花のラン,オランダ,ランダム,ランキング,2
カップ麺に入っている「かやく」を漢字で書くとどうなるでしょうか？,火薬,化薬,加薬,科薬,3
牛乳を温めたときにできる膜の正体はなんでしょうか？,タンパク質,砂糖,カルシウム,脂肪,1
フルーツサンド発祥の国はどこでしょうか？,日本,アメリカ,フランス,イタリア,1
アニメ「サザエさん」には、意外にも原作には登場していないキャラクタが多く登場しています。次のうち、原作にも登場した人物は誰でしょうか？,伊佐坂先生,花沢さん,サブちゃん,アナゴさん,1
「行く川の流れは絶えずしてしかももとの水にあらず」という一文で始まる鎌倉時代の随筆は？,『徒然草』,『伊勢物語』,『方丈記』,『大鏡』,3
『枕草子』を書いた平安時代の女性は？,和泉式部,紫式部,清少納言,阿仏尼,3
豊臣秀吉は、どの城で亡くなったでしょうか？,大阪城,姫路城,山崎城,伏見城,4
作家・芥川龍之介の命日を何忌という？,河童忌,蝸牛忌,南国忌　,桜桃忌,1
作家・太宰治の命日を何忌という？,桜桃忌,河童忌　　,蝸牛忌,南国忌,1
古代ギリシアの恋愛小説『ダフニスとクロエ』にヒントを得て書かれた三島由紀夫の小説は？,『永すぎた春』,『潮騒』,『豊饒の海』,『仮面の告白』,2
幕末期に吉田松陰が開いた私塾とは？,松下村塾,古義塾,天真楼,鳴滝塾,1
太宰治の小説『走れメロス』で主人公のメロスが、親友のセリヌンティウスを人質にして出席したのは誰の結婚式？,妹,昔の彼女,娘,同級生,1
イタリアのローマにある世界最小の独立国として世界遺産に登録された国は？,バチカン市国,モナコ,ナウル共和国,ツバル,1
次のうち、樋口一葉が執筆した作品はどれでしょうか？,『舞姫』,『たけくらべ』,『みだれ髪』,『学問のすすめ』,2
川端康成の小説『雪国』の冒頭部分に出てくる「国境の長いトンネル」とは何トンネルのこと？,青函トンネル,清水トンネル,丹那トンネル,樽沢トンネル,2
